Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_Body,0.0103110622754226,-0.138333813435703,-0.00633427200512993,0,0,0,0.140972114032924,0.000172858210708355,-9.20364029032113E-08,-1.60625193941856E-06,0.000238776777529016,-1.46977761927673E-07,0.000396584509314804,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Body.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Body.STL,,chy中心架2012-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Link_Shoulder,-0.0274247665425242,-0.00816227985534069,0.0125762828596184,0,0,0,0.0207864363086098,6.27146358863494E-06,3.91384833154347E-08,-1.74281855565268E-07,6.22523670847366E-06,-2.24464499683624E-07,1.02843302670418E-05,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Shoulder.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Shoulder.STL,,chysholdersheft-1,Origin_Joint_Shoulder_Body6,Axis_Joint_Shoulder_Body6,Joint_Shoulder_Body,continuous,-0.024262490025846,-0.210974353298413,0.0042831711339558,-3.10892168622311,0,1.57079633049684,Link_Body,1,0,0,0,0,-0.5,1.5,,,,,,,,0
Link_Arm,-0.0788155464015626,-1.28029117704709E-05,-0.0177604221817193,0,0,0,0.108265195096751,2.14056382437846E-05,-5.7086172295258E-08,8.85505589058663E-06,0.00016624910449164,-3.05257037533732E-09,0.000163044159957564,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Arm.STL,,chyarm1-1,Origin_Joint_Arm_Shoulder4,Axis_Joint_Arm_Shoulder4,Joint_Arm_Shoulder,continuous,-0.0390000494633864,-0.00503732057810486,0.0250000008133683,1.5707963267949,1.0538900560339,-3.14159265056749,Link_Shoulder,0,0,1,0,0,-1.5,1.5,,,,,,,,0
Link_Hand,0.0526382833749994,-8.32667268468867E-17,0.0110737358724704,0,0,0,0.0420735853495989,4.63824751744345E-06,3.35636805349517E-20,1.99944788512828E-06,2.67304876167846E-05,-4.32045451522672E-21,2.83575795096437E-05,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Hand.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Hand.STL,,chyHand-1,Origin_Joint_Hand_Arm3,Axis_Joint_Hand_Arm3,Joint_Hand_Arm,continuous,-0.13,0,-0.0319840197875134,3.14159265358979,0,2.85540791089326,Link_Arm,0,0,1,0,0,-1.5,1.5,,,,,,,,0
Link_Shoulder_lf,0.0297444649113038,-0.0103661778761098,0.0113168142585662,0,0,0,0.024381282517391,6.47635682118491E-06,-1.7820992837587E-07,5.84885132806065E-07,6.88016866534127E-06,-8.48693360788404E-07,1.06252181988618E-05,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Shoulder_lf.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Shoulder_lf.STL,,chysholdersheft2-1,Origin_Joint_Shoulder_Body_lf2,Axis_Joint_Shoulder_Body_lf2,Joint_Shoulder_Body_lf,continuous,0.0447375099741542,-0.211105312695026,0.00428317113395733,3.13570327871611,0,-1.5707963267949,Link_Body,1,0,0,0,0,-0.5,1.5,,,,,,,,0
Link_Arm_lf,-0.0788155464015625,-1.28029117703321E-05,-0.0187810440052838,0,0,0,0.108265195096751,2.14056382437845E-05,-5.70861722950212E-08,8.8550558905866E-06,0.00016624910449164,-3.05257037534878E-09,0.000163044159957564,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Arm_lf.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Arm_lf.STL,,chyarm1-2,Origin_Joint_Arm_Shoulder_lf3,Axis_Joint_Arm_Shoulder_lf3,Joint_Arm_Shoulder_lf,continuous,0.0359999999999995,-0.00431088193830897,0.0249509551891668,-1.43396185933822,1.48434116768327,0.136329722136433,Link_Shoulder_lf,0,0,1,0,0,-1.5,1.5,,,,,,,,0
Link_Hand_lf,0.0526382833749993,5.55111512312578E-17,0.0117025057426635,0,0,0,0.0420735853495988,4.63824751744343E-06,-1.77876918923403E-20,1.99944788512829E-06,2.67304876167845E-05,2.01825548494638E-21,2.83575795096436E-05,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Hand_lf.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Hand_lf.STL,,chyHand-2,Origin_Joint_Hand_Arm_lf2,Axis_Joint_Hand_Arm_lf2,Joint_Hand_Arm_lf,continuous,-0.13,0,-0.0323758717408849,3.14159265358979,0,2.61425434993677,Link_Arm_lf,0,0,1,0,0,-1.5,1.5,,,,,,,,0
Link_Shoulder_re,-0.0252555849108747,-0.0102321643187586,0.0114381270782385,0,0,0,0.024381282517391,6.47635682902833E-06,-1.71308517453457E-07,5.86943623501043E-07,6.86069697624158E-06,-8.04349947667647E-07,1.06446898801181E-05,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Shoulder_re.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Shoulder_re.STL,,chysholdersheft2-2,Origin_Joint_Shoulder_Body_re7,Axis_Joint_Shoulder_Body_re7,Joint_Shoulder_Body_re,continuous,-0.0241891406163888,-0.0101052626950253,0.00455177305558941,-2.80972051739857,0,1.57079634147904,Link_Body,1,0,0,0,0,-0.5,1.5,,,,,,,,0
Link_Arm_re,-0.0788155464015625,-1.28029117703772E-05,-0.0227977426419542,0,0,0,0.108265195096751,2.14056382437846E-05,-5.70861722950884E-08,8.85505589058663E-06,0.00016624910449164,-3.05257037534552E-09,0.000163044159957564,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Arm_re.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Arm_re.STL,,chyarm1-3,Origin_Joint_Arm_Shoulder_re5,Axis_Joint_Arm_Shoulder_re5,Joint_Arm_Shoulder_re,continuous,-0.0160000499402824,0,0.0250000000382197,-1.57079632679486,1.53888883138228,0,Link_Shoulder_re,0,0,1,0,0,-1.5,1.5,,,,,,,,0
Link_Hand_re,0.0526382833749993,-6.93889390390723E-17,0.00897198634715779,0,0,0,0.0420735853495988,4.63824751744344E-06,2.62646388097837E-20,1.99944788512829E-06,2.67304876167845E-05,-2.63892706720639E-21,2.83575795096436E-05,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Hand_re.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2.SLDASM/meshes/Link_Hand_re.STL,,chyHand-3,,,Joint_Hand_Arm_re,continuous,-0.13,0,-0.039123,-3.1416,0,-3.1308,Link_Arm_re,0,0,1,0,0,-1.5,1.5,,,,,,,,0
