2021-03-22 12:19:54,394 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-03-22 12:19:54,426 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-03-22 12:19:54,441 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-03-22 12:19:54,441 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-03-22 12:19:54,441 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-03-22 12:19:54,441 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-03-22 12:19:54,441 INFO  SwAddin.cs: 201 - Setting up command manager
2021-03-22 12:19:54,441 INFO  SwAddin.cs: 204 - Adding command manager
2021-03-22 12:19:54,441 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-03-22 12:19:54,457 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-03-22 12:19:54,457 INFO  SwAddin.cs: 210 - Adding event handlers
2021-03-22 12:19:54,457 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-03-22 12:24:50,112 INFO  SwAddin.cs: 294 - Assembly export called for file 装配体2
2021-03-22 12:24:50,112 INFO  SwAddin.cs: 299 - Save is required
2021-03-22 12:24:50,112 INFO  SwAddin.cs: 313 - Saving assembly
2021-03-22 12:24:50,112 INFO  SwAddin.cs: 316 - Opening property manager
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 装配体2
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1136 - Found 19 in 装配体2
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 装配体2
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from chyBody20210322-1
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1136 - Found 45 in chyBody20210322-1
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in chyBody20210322-1
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from chyShoulderRe2-1
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1136 - Found 31 in chyShoulderRe2-1
2021-03-22 12:24:50,143 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in chyShoulderRe2-1
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 装配体2
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1136 - Found 19 in 装配体2
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 装配体2
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from chyBody20210322-1
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1136 - Found 45 in chyBody20210322-1
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [RefAxis] in chyBody20210322-1
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from chyShoulderRe2-1
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1136 - Found 31 in chyShoulderRe2-1
2021-03-22 12:24:50,159 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [RefAxis] in chyShoulderRe2-1
2021-03-22 12:24:50,314 INFO  SwAddin.cs: 339 - Loading config tree
2021-03-22 12:24:50,329 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2021-03-22 12:24:50,329 INFO  SwAddin.cs: 344 - Showing property manager
2021-03-22 12:24:56,890 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-03-22 12:25:05,435 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-03-22 12:26:05,187 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-03-22 12:26:09,451 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-03-22 12:26:14,653 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-03-22 12:27:26,996 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2021-03-22 12:27:27,214 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-03-22 12:29:08,644 INFO  SwAddin.cs: 294 - Assembly export called for file 装配体2
2021-03-22 12:29:08,644 INFO  SwAddin.cs: 299 - Save is required
2021-03-22 12:29:08,644 INFO  SwAddin.cs: 313 - Saving assembly
2021-03-22 12:29:08,644 INFO  SwAddin.cs: 316 - Opening property manager
2021-03-22 12:29:08,644 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 装配体2
2021-03-22 12:29:08,644 INFO  ExportHelperExtension.cs: 1136 - Found 20 in 装配体2
2021-03-22 12:29:08,644 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 装配体2
2021-03-22 12:29:08,644 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-03-22 12:29:08,644 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from chyBody20210322-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1136 - Found 45 in chyBody20210322-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in chyBody20210322-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from chyShoulderRe2-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1136 - Found 31 in chyShoulderRe2-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in chyShoulderRe2-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 装配体2
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1136 - Found 20 in 装配体2
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 装配体2
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1160 - 2 components to check
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from chyBody20210322-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1136 - Found 45 in chyBody20210322-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [RefAxis] in chyBody20210322-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from chyShoulderRe2-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1136 - Found 31 in chyShoulderRe2-1
2021-03-22 12:29:08,659 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [RefAxis] in chyShoulderRe2-1
2021-03-22 12:29:08,737 INFO  SwAddin.cs: 339 - Loading config tree
2021-03-22 12:29:08,737 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
